gatunek;species_name;latin_name;english_name;BUL_SPECIES_NR;Grupa_gat;Nr_grupy_gat;grupa_wieku;code;col
HOR.P;hortensja pnąca;Hydrangea petiolaris;;511;NA;NA;NA;NA;NA
OST.K;ostrokrzew kolczasty;Ilex aquifolium;;761;NA;NA;NA;NA;NA
JŚM.N;jaśmin nagokwiatowy;Jasminum nudiflorum;;620;NA;NA;NA;NA;NA
ORZ.S;orzech szary;Juglans cinerea;;758;BRZ;60;1;BRZ1;#D2FEFB
ORZ.S;orzech szary;Juglans cinerea;;758;BRZ;60;2;BRZ2;#86F3EF
ORZ.S;orzech szary;Juglans cinerea;;758;BRZ;60;3;BRZ3;#40E6E7
ORZ.S;orzech szary;Juglans cinerea;;758;BRZ;60;4;BRZ4;#40E6E7
ORZ.SE;orzech sercowaty;Juglans cordiformis;;759;BRZ;60;1;BRZ1;#D2FEFB
ORZ.SE;orzech sercowaty;Juglans cordiformis;;759;BRZ;60;2;BRZ2;#86F3EF
ORZ.SE;orzech sercowaty;Juglans cordiformis;;759;BRZ;60;3;BRZ3;#40E6E7
ORZ.SE;orzech sercowaty;Juglans cordiformis;;759;BRZ;60;4;BRZ4;#40E6E7
ORZ.C;orzech czarny;Juglans nigra;;80;BRZ;60;1;BRZ1;#D2FEFB
ORZ.C;orzech czarny;Juglans nigra;;80;BRZ;60;2;BRZ2;#86F3EF
ORZ.C;orzech czarny;Juglans nigra;;80;BRZ;60;3;BRZ3;#40E6E7
ORZ.C;orzech czarny;Juglans nigra;;80;BRZ;60;4;BRZ4;#40E6E7
ORZ.W;orzech włoski;Juglans regia;;760;BRZ;60;1;BRZ1;#D2FEFB
ORZ.W;orzech włoski;Juglans regia;;760;BRZ;60;2;BRZ2;#86F3EF
ORZ.W;orzech włoski;Juglans regia;;760;BRZ;60;3;BRZ3;#40E6E7
ORZ.W;orzech włoski;Juglans regia;;760;BRZ;60;4;BRZ4;#40E6E7
JAŁ.C.V;ja88łowiec chiński;Juniperus chinensis;;534;NA;NA;NA;NA;NA
JAŁ.C.CG;jał88owiec chiński;Juniperus chinensis;;530;NA;NA;NA;NA;NA
JAŁ.C.P;jał88owiec chiński;Juniperus chinensis;;531;NA;NA;NA;NA;NA
JAŁ.C;jałowiec chiński;Juniperus chinensis;;529;NA;NA;NA;NA;NA
JAŁ.C.PA;jałowiec chiński;Juniperus chinensis;;532;NA;NA;NA;NA;NA
JAŁ.C.S;jałowiec chiński;Juniperus chinensis;;533;NA;NA;NA;NA;NA
JAŁ.DA;ja88łowiec pospolity;Juniperus communis;;535;NA;NA;NA;NA;NA
