X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
291;JAŚ.F;550300;jaśminowiec Falconera;Philadelphus falconeri;K;jaśminowiec;;;;NA;L;NA;564;;;;NA;NA;NA;4;;;;
292;JAŚ.K;550200;jaśminowiec kaukaski;Philadelphus caucasicus;K;jaśminowiec;;;;NA;L;NA;565;;;;NA;NA;NA;4;;;;
293;JAŚ.L;550400;jaśminowiec Lemoine'a;Philadelphus lemoinei;K;jaśminowiec;;;;NA;L;NA;566;;;;NA;NA;NA;4;;;;
294;JAŚ.P;550700;jaśminowiec panieński;Philadelphus virginalis;K;jaśminowiec;;;;NA;L;NA;567;;;;NA;NA;NA;4;;;;
295;JAŚ.P.BS;550703;jaśminowiec panieński;Philadelphus virginalis;K;jaśminowiec;odm. Biały Sopel;;;NA;L;NA;568;;;;NA;NA;NA;4;;;;
296;JAŚ.P.G;550702;jaśminowiec panieński;Philadelphus virginalis;K;jaśminowiec;odm. Girandale;;;NA;L;NA;569;;;;NA;NA;NA;4;;;;
297;JAŚ.W;550100;jaśminowiec wonny;Philadelphus coronarius;K;jaśminowiec;;;;NA;L;NA;570;;;;NA;NA;NA;4;;;;
298;JAŚ.WI;550500;jaśminowiec wierzchotkowy;Philadelphus cymosus;K;jaśminowiec;;;;NA;L;NA;571;;;;NA;NA;NA;4;;;;
299;JAŚ.WL;550600;jaśminowiec wielkokwiatowy;Philadelphus polyanthus;K;jaśminowiec;;;;NA;L;NA;572;;;;NA;NA;NA;4;;;;
300;JB;690100;jabłoń dzika;Malus silvestris;D;jabłoń;;BRZ;BRZ;NA;L;NA;84;BRZ;BRZ;OS;50;15;25;4;BRZ;BRZ;BRZ;BRZ
301;JB.J;690400;jabłoń jagodowa;Malus baccata;D;jabłoń;;BRZ;BRZ;NA;L;NA;573;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
302;JB.K;690500;jabłoń kwiecista;Malus floribunda;D;jabłoń;;BRZ;BRZ;NA;L;NA;574;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
303;JB.N;690200;jabłoń niska;Malus pumila;D;jabłoń;;BRZ;BRZ;NA;L;NA;575;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
304;JB.P;690300;jabłoń purpurowa;Malus purpurea;D;jabłoń;;BRZ;BRZ;NA;L;NA;576;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
305;JB.S;690600;jabłoń Scheideckera;Malus scheideckeri;D;jabłoń;;BRZ;BRZ;NA;L;NA;577;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
306;JD;40100;jodła pospolita;Abies alba;D;jodła;;JD;JD;NA;I;NA;21;JD;JD;JD;120;30;35;4;JD;JD;JD;JD
307;JD.A;40300;jodła Arnolda;Abies arnoldiana;D;jodła;;JD;JD;NA;I;NA;578;JD;JD;;NA;30;35;4;JD;JD;JD;JD
308;JD.AL;42500;jodła algierska;Abies numidica;D;jodła;;JD;JD;NA;I;NA;579;JD;JD;;NA;30;35;4;JD;JD;JD;JD
309;JD.B;40500;jodła Borysa;Abies borisii-regis;D;jodła;;JD;JD;NA;I;NA;580;JD;JD;;NA;30;35;4;JD;JD;JD;JD
310;JD.BA;40400;jodła balsamiczna;Abies balsamea;D;jodła;;JD;JD;NA;I;NA;581;JD;JD;;NA;30;35;4;JD;JD;JD;JD
311;JD.BK;42300;jodła białokora;Abies nephrolepis;D;jodła;;JD;JD;NA;I;NA;582;JD;JD;;NA;30;35;4;JD;JD;JD;JD
